"","Symbol","company_name","sector","subsector","Enterprise Value/Revenue","rev","Revenue Per Share (ttm)","Quarterly Revenue Growth (yoy)","sql"
"26","MO","Altria","Consumer Staples","Tobacco","4.96",2.069e+10,"11.40","-2.20%","values ('MO', 'Altria', 'Consumer Staples', 'Tobacco',  20690000000) union all"
"27","AMZN","Amazon","Consumer Discretionary","Internet & Direct Marketing Retail","2.14",5.0219e+11,"49.35","14.70%","values ('AMZN', 'Amazon', 'Consumer Discretionary', 'Internet & Direct Marketing Retail', 502190000000) union all"
"28","AMCR","Amcor","Materials","Paper Packaging","1.63",1.484e+10,"9.92","8.50%","values ('AMCR', 'Amcor', 'Materials', 'Paper Packaging',  14840000000) union all"
"29","AMD","AMD","Information Technology","Semiconductors","4.99",2.283e+10,"15.65","29.00%","values ('AMD', 'AMD', 'Information Technology', 'Semiconductors',  22830000000) union all"
"30","AEE","Ameren","Utilities","Multi-Utilities","4.89",7.17e+09,"27.77","28.50%","values ('AEE', 'Ameren', 'Utilities', 'Multi-Utilities',   7170000000) union all"
"31","AAL","American Airlines Group","Industrials","Airlines","0.95",4.521e+10,"69.57","50.10%","values ('AAL', 'American Airlines Group', 'Industrials', 'Airlines',  45210000000) union all"
"32","AEP","American Electric Power","Utilities","Electric Utilities","4.46",1.882e+10,"36.95","19.50%","values ('AEP', 'American Electric Power', 'Utilities', 'Electric Utilities',  18820000000) union all"
"33","AXP","American Express","Financials","Consumer Finance","N/A",4.962e+10,"65.64","14.90%","values ('AXP', 'American Express', 'Financials', 'Consumer Finance',  49620000000) union all"
"34","AIG","American International Group","Financials","Property & Casualty Insurance","1.24",5.938e+10,"74.15","14.60%","values ('AIG', 'American International Group', 'Financials', 'Property & Casualty Insurance',  59380000000) union all"
"35","AMT","American Tower","Real Estate","Specialized REITs","13.86",1.045e+10,"22.77","8.80%","values ('AMT', 'American Tower', 'Real Estate', 'Specialized REITs',  10450000000) union all"
"36","AWK","American Water Works","Utilities","Water Utilities","10.01",3.81e+09,"20.94","-0.90%","values ('AWK', 'American Water Works', 'Utilities', 'Water Utilities',   3810000000) union all"
"37","AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","2.19",1.444e+10,"128.06","20.60%","values ('AMP', 'Ameriprise Financial', 'Financials', 'Asset Management & Custody Banks',  14440000000) union all"
"38","ABC","AmerisourceBergen","Health Care","Health Care Distributors","0.15",2.3859e+11,"1,144.46","3.80%","values ('ABC', 'AmerisourceBergen', 'Health Care', 'Health Care Distributors', 238590000000) union all"
"39","AME","Ametek","Industrials","Electrical Components & Equipment","5.63",6.03e+09,"26.14","7.70%","values ('AME', 'Ametek', 'Industrials', 'Electrical Components & Equipment',   6030000000) union all"
"40","AMGN","Amgen","Health Care","Biotechnology","6.81",2.633e+10,"48.29","-0.80%","values ('AMGN', 'Amgen', 'Health Care', 'Biotechnology',  26330000000) union all"
"41","APH","Amphenol","Information Technology","Electronic Components","4.09",1.241e+10,"20.79","16.90%","values ('APH', 'Amphenol', 'Information Technology', 'Electronic Components',  12410000000) union all"
"42","ADI","Analog Devices","Information Technology","Semiconductors","8.02",1.111e+10,"21.69","76.80%","values ('ADI', 'Analog Devices', 'Information Technology', 'Semiconductors',  11110000000) union all"
"43","ANSS","Ansys","Information Technology","Application Software","11.10",2.03e+09,"23.27","7.10%","values ('ANSS', 'Ansys', 'Information Technology', 'Application Software',   2030000000) union all"
"44","AON","Aon","Financials","Insurance Brokers","5.68",1.243e+10,"57.88","-0.20%","values ('AON', 'Aon', 'Financials', 'Insurance Brokers',  12430000000) union all"
"45","APA","APA Corporation","Energy","Oil & Gas Exploration & Production","1.93",1.244e+10,"36.07","76.60%","values ('APA', 'APA Corporation', 'Energy', 'Oil & Gas Exploration & Production',  12440000000) union all"
"46","AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","6.16",3.9433e+11,"24.32","8.10%","values ('AAPL', 'Apple Inc.', 'Information Technology', 'Technology Hardware, Storage & Peripherals', 394330000000) union all"
"47","AMAT","Applied Materials","Information Technology","Semiconductor Equipment","3.87",2.516e+10,"28.52","5.20%","values ('AMAT', 'Applied Materials', 'Information Technology', 'Semiconductor Equipment',  25160000000) union all"
"48","APTV","Aptiv","Consumer Discretionary","Auto Parts & Equipment","1.90",1.698e+10,"62.72","26.30%","values ('APTV', 'Aptiv', 'Consumer Discretionary', 'Auto Parts & Equipment',  16980000000) union all"
"49","ACGL","Arch Capital Group","Financials","Reinsurance","2.65",8.86e+09,"23.81","13.60%","values ('ACGL', 'Arch Capital Group', 'Financials', 'Reinsurance',   8860000000) union all"
"50","ANET","Arista Networks","Information Technology","Communications Equipment","9.45",3.93e+09,"12.81","57.20%","values ('ANET', 'Arista Networks', 'Information Technology', 'Communications Equipment',   3930000000) union all"
"51","AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","5.32",8.25e+09,"39.38","-5.00%","values ('AJG', 'Arthur J. Gallagher & Co.', 'Financials', 'Insurance Brokers',   8250000000) union all"
"52","AIZ","Assurant","Financials","Multi-line Insurance","0.74",1.012e+10,"182.80","-3.40%","values ('AIZ', 'Assurant', 'Financials', 'Multi-line Insurance',  10120000000) union all"
"53","T","AT&T","Communication Services","Integrated Telecommunication Services","1.84",1.5532e+11,"21.66","-4.10%","values ('T', 'AT&T', 'Communication Services', 'Integrated Telecommunication Services', 155320000000) union all"
"54","ATO","Atmos Energy","Utilities","Gas Utilities","5.61",4.2e+09,"30.48","27.10%","values ('ATO', 'Atmos Energy', 'Utilities', 'Gas Utilities',   4200000000) union all"
"55","ADSK","Autodesk","Information Technology","Application Software","10.73",4.74e+09,"21.74","16.70%","values ('ADSK', 'Autodesk', 'Information Technology', 'Application Software',   4740000000) union all"
"56","AZO","AutoZone","Consumer Discretionary","Specialty Stores","3.41",1.625e+10,"808.29","8.90%","values ('AZO', 'AutoZone', 'Consumer Discretionary', 'Specialty Stores',  16250000000) union all"
"57","AVB","AvalonBay Communities","Real Estate","Residential REITs","12.38",2.55e+09,"18.30","20.70%","values ('AVB', 'AvalonBay Communities', 'Real Estate', 'Residential REITs',   2550000000) union all"
"58","AVY","Avery Dennison","Materials","Paper Packaging","1.92",9.2e+09,"112.15","11.80%","values ('AVY', 'Avery Dennison', 'Materials', 'Paper Packaging',   9200000000) union all"
"59","BKR","Baker Hughes","Energy","Oil & Gas Equipment & Services","1.68",2.074e+10,"21.56","5.40%","values ('BKR', 'Baker Hughes', 'Energy', 'Oil & Gas Equipment & Services',  20740000000) union all"
"60","BALL","Ball Corporation","Materials","Metal & Glass Containers","1.72",1.548e+10,"48.57","11.20%","values ('BALL', 'Ball Corporation', 'Materials', 'Metal & Glass Containers',  15480000000) union all"
"61","BAC","Bank of America","Financials","Diversified Banks","N/A",9.152e+10,"11.23","0.90%","values ('BAC', 'Bank of America', 'Financials', 'Diversified Banks',  91520000000) union all"
"62","BBWI","Bath & Body Works, Inc.","Consumer Discretionary","Specialty Stores","1.78",7.78e+09,"31.35","-5.00%","values ('BBWI', 'Bath & Body Works, Inc.', 'Consumer Discretionary', 'Specialty Stores',   7780000000) union all"
"63","BAX","Baxter International","Health Care","Health Care Equipment","2.91",1.474e+10,"29.36","17.00%","values ('BAX', 'Baxter International', 'Health Care', 'Health Care Equipment',  14740000000) union all"
"64","BDX","Becton Dickinson","Health Care","Health Care Equipment","4.24",1.887e+10,"66.21","-7.30%","values ('BDX', 'Becton Dickinson', 'Health Care', 'Health Care Equipment',  18870000000) union all"
"65","WRB","Berkley","Financials","Property & Casualty Insurance","1.87",1.073e+10,"38.76","12.40%","values ('WRB', 'Berkley', 'Financials', 'Property & Casualty Insurance',  10730000000) union all"
"66","BBY","Best Buy","Consumer Discretionary","Computer & Electronics Retail","0.41",4.925e+10,"210.47","-12.80%","values ('BBY', 'Best Buy', 'Consumer Discretionary', 'Computer & Electronics Retail',  49250000000) union all"
"67","BIO","Bio-Rad","Health Care","Life Sciences Tools & Services","4.45",2.8e+09,"93.98","-8.90%","values ('BIO', 'Bio-Rad', 'Health Care', 'Life Sciences Tools & Services',   2800000000) union all"
"68","TECH","Bio-Techne","Health Care","Life Sciences Tools & Services","12.41",1.12e+09,"28.47","4.60%","values ('TECH', 'Bio-Techne', 'Health Care', 'Life Sciences Tools & Services',   1120000000) union all"
"69","BIIB","Biogen","Health Care","Biotechnology","4.19",1.036e+10,"70.97","-9.70%","values ('BIIB', 'Biogen', 'Health Care', 'Biotechnology',  10360000000) union all"
"70","BLK","BlackRock","Financials","Asset Management & Custody Banks","6.33",1.864e+10,"123.16","-14.60%","values ('BLK', 'BlackRock', 'Financials', 'Asset Management & Custody Banks',  18640000000) union all"
"71","BK","BNY Mellon","Financials","Asset Management & Custody Banks","N/A",1.647e+10,"20.31","5.60%","values ('BK', 'BNY Mellon', 'Financials', 'Asset Management & Custody Banks',  16470000000) union all"
"72","BA","Boeing","Industrials","Aerospace & Defense","2.42",6.142e+10,"103.57","4.40%","values ('BA', 'Boeing', 'Industrials', 'Aerospace & Defense',  61420000000) union all"
"73","BKNG","Booking Holdings","Consumer Discretionary","Internet & Direct Marketing Retail","4.90",1.602e+10,"395.48","29.40%","values ('BKNG', 'Booking Holdings', 'Consumer Discretionary', 'Internet & Direct Marketing Retail',  16020000000) union all"
"74","BWA","BorgWarner","Consumer Discretionary","Auto Parts & Equipment","0.85",1.535e+10,"64.77","18.90%","values ('BWA', 'BorgWarner', 'Consumer Discretionary', 'Auto Parts & Equipment',  15350000000) union all"
"75","BXP","Boston Properties","Real Estate","Office REITs","8.47",3.04e+09,"19.40","8.60%","values ('BXP', 'Boston Properties', 'Real Estate', 'Office REITs',   3040000000) union all"
"76","BSX","Boston Scientific","Health Care","Health Care Equipment","5.50",1.257e+10,"8.80","8.10%","values ('BSX', 'Boston Scientific', 'Health Care', 'Health Care Equipment',  12570000000) union all"
"77","BMY","Bristol Myers Squibb","Health Care","Health Care Distributors","4.12",4.674e+10,"21.70","-3.50%","values ('BMY', 'Bristol Myers Squibb', 'Health Care', 'Health Care Distributors',  46740000000) union all"
"78","AVGO","Broadcom Inc.","Information Technology","Semiconductors","7.56",3.168e+10,"77.41","24.90%","values ('AVGO', 'Broadcom Inc.', 'Information Technology', 'Semiconductors',  31680000000) union all"
"79","BR","Broadridge Financial Solutions","Information Technology","Data Processing & Outsourced Services","3.55",5.8e+09,"49.56","7.60%","values ('BR', 'Broadridge Financial Solutions', 'Information Technology', 'Data Processing & Outsourced Services',   5800000000) union all"
"80","BRO","Brown & Brown","Financials","Insurance Brokers","5.71",3.41e+09,"12.03","20.30%","values ('BRO', 'Brown & Brown', 'Financials', 'Insurance Brokers',   3410000000) union all"
"81","CHRW","C.H. Robinson","Industrials","Air Freight & Logistics","0.53",2.613e+10,"203.30","-4.00%","values ('CHRW', 'C.H. Robinson', 'Industrials', 'Air Freight & Logistics',  26130000000) union all"
"82","CDNS","Cadence Design Systems","Information Technology","Application Software","13.26",3.43e+09,"12.63","20.20%","values ('CDNS', 'Cadence Design Systems', 'Information Technology', 'Application Software',   3430000000) union all"
"83","CZR","Caesars Entertainment","Consumer Discretionary","Casinos & Gaming","2.17",1.059e+10,"49.67","7.50%","values ('CZR', 'Caesars Entertainment', 'Consumer Discretionary', 'Casinos & Gaming',  10590000000) union all"
"84","CPT","Camden Property Trust","Real Estate","Residential REITs","11.76",1.37e+09,"12.83","24.70%","values ('CPT', 'Camden Property Trust', 'Real Estate', 'Residential REITs',   1370000000) union all"
"85","CPB","Campbell Soup Company","Consumer Staples","Packaged Foods & Meats","2.29",8.56e+09,"28.44","6.10%","values ('CPB', 'Campbell Soup Company', 'Consumer Staples', 'Packaged Foods & Meats',   8560000000) union all"
"86","COF","Capital One","Financials","Consumer Finance","N/A",2.952e+10,"73.46","-12.70%","values ('COF', 'Capital One', 'Financials', 'Consumer Finance',  29520000000) union all"
"87","CAH","Cardinal Health","Health Care","Health Care Distributors","0.11",1.87e+11,"680.00","12.80%","values ('CAH', 'Cardinal Health', 'Health Care', 'Health Care Distributors', 187000000000) union all"
"88","KMX","CarMax","Consumer Discretionary","Automotive Retail","N/A",3.504e+10,"218.08","2.30%","values ('KMX', 'CarMax', 'Consumer Discretionary', 'Automotive Retail',  35040000000) union all"
"89","CCL","Carnival","Consumer Discretionary","Hotels, Resorts & Cruise Lines","N/A",9.62e+09,"8.37","688.60%","values ('CCL', 'Carnival', 'Consumer Discretionary', 'Hotels, Resorts & Cruise Lines',   9620000000) union all"
"90","CARR","Carrier Global","Industrials","Building Products","N/A",2.034e+10,"23.71","-4.20%","values ('CARR', 'Carrier Global', 'Industrials', 'Building Products',  20340000000) union all"
"91","CTLT","Catalent","Health Care","Pharmaceuticals","N/A",4.83e+09,"27.43","10.50%","values ('CTLT', 'Catalent', 'Health Care', 'Pharmaceuticals',   4830000000) union all"
"92","CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Trucks","N/A",5.663e+10,"106.40","20.90%","values ('CAT', 'Caterpillar Inc.', 'Industrials', 'Construction Machinery & Heavy Trucks',  56630000000) union all"
"93","CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data","N/A",3.82e+09,"35.85","21.60%","values ('CBOE', 'Cboe Global Markets', 'Financials', 'Financial Exchanges & Data',   3820000000) union all"
"94","CBRE","CBRE Group","Real Estate","Real Estate Services","N/A",3.118e+10,"95.13","10.80%","values ('CBRE', 'CBRE Group', 'Real Estate', 'Real Estate Services',  31180000000) union all"
"95","CDW","CDW","Information Technology","Technology Distributors","N/A",2.293e+10,"168.93","19.40%","values ('CDW', 'CDW', 'Information Technology', 'Technology Distributors',  22930000000) union all"
"96","CE","Celanese","Materials","Specialty Chemicals","N/A",9.56e+09,"87.82","13.10%","values ('CE', 'Celanese', 'Materials', 'Specialty Chemicals',   9560000000) union all"
"97","CNC","Centene Corporation","Health Care","Managed Health Care","N/A",1.3331e+11,"229.42","13.20%","values ('CNC', 'Centene Corporation', 'Health Care', 'Managed Health Care', 133310000000) union all"
"98","CNP","CenterPoint Energy","Utilities","Multi-Utilities","N/A",8.77e+09,"14.07","11.60%","values ('CNP', 'CenterPoint Energy', 'Utilities', 'Multi-Utilities',   8770000000) union all"
"99","CDAY","Ceridian","Information Technology","Application Software","N/A",1.19e+09,"7.79","22.70%","values ('CDAY', 'Ceridian', 'Information Technology', 'Application Software',   1190000000) union all"
"100","CF","CF Industries","Materials","Fertilizers & Agricultural Chemicals","N/A",1.016e+10,"48.01","113.40%","values ('CF', 'CF Industries', 'Materials', 'Fertilizers & Agricultural Chemicals',  10160000000) union all"
"101","CRL","Charles River Laboratories","Health Care","Life Sciences Tools & Services","N/A",3.69e+09,"72.90","6.40%","values ('CRL', 'Charles River Laboratories', 'Health Care', 'Life Sciences Tools & Services',   3690000000) union all"
"102","SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","N/A",1.997e+10,"10.56","20.40%","values ('SCHW', 'Charles Schwab Corporation', 'Financials', 'Investment Banking & Brokerage',  19970000000) union all"
"103","CHTR","Charter Communications","Communication Services","Cable & Satellite","N/A",5.316e+10,"307.22","6.20%","values ('CHTR', 'Charter Communications', 'Communication Services', 'Cable & Satellite',  53160000000) union all"
"104","CVX","Chevron Corporation","Energy","Integrated Oil & Gas","N/A",2.061e+11,"106.83","81.00%","values ('CVX', 'Chevron Corporation', 'Energy', 'Integrated Oil & Gas', 206100000000) union all"
"105","CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","N/A",8.41e+09,"300.96","13.70%","values ('CMG', 'Chipotle Mexican Grill', 'Consumer Discretionary', 'Restaurants',   8410000000) union all"
"106","CB","Chubb Limited","Financials","Property & Casualty Insurance","N/A",4.024e+10,"95.08","10.60%","values ('CB', 'Chubb Limited', 'Financials', 'Property & Casualty Insurance',  40240000000) union all"
"107","CHD","Church & Dwight","Consumer Staples","Household Products","N/A",5.3e+09,"21.77","4.20%","values ('CHD', 'Church & Dwight', 'Consumer Staples', 'Household Products',   5300000000) union all"
"108","CI","Cigna","Health Care","Managed Health Care","N/A",1.7918e+11,"553.14","5.10%","values ('CI', 'Cigna', 'Health Care', 'Managed Health Care', 179180000000) union all"
"109","CINF","Cincinnati Financial","Financials","Property & Casualty Insurance","N/A",7.14e+09,"44.52","-64.30%","values ('CINF', 'Cincinnati Financial', 'Financials', 'Property & Casualty Insurance',   7140000000) union all"
"110","CTAS","Cintas","Industrials","Diversified Support Services","N/A",8.12e+09,"79.10","14.20%","values ('CTAS', 'Cintas', 'Industrials', 'Diversified Support Services',   8120000000) union all"
"111","CSCO","Cisco","Information Technology","Communications Equipment","N/A",5.156e+10,"12.36","-0.20%","values ('CSCO', 'Cisco', 'Information Technology', 'Communications Equipment',  51560000000) union all"
"112","C","Citigroup","Financials","Diversified Banks","N/A",7.165e+10,"36.58","-1.00%","values ('C', 'Citigroup', 'Financials', 'Diversified Banks',  71650000000) union all"
"113","CFG","Citizens Financial Group","Financials","Regional Banks","N/A",7.22e+09,"15.75","21.40%","values ('CFG', 'Citizens Financial Group', 'Financials', 'Regional Banks',   7220000000) union all"
"114","CLX","Clorox","Consumer Staples","Household Products","N/A",7.11e+09,"57.73","-0.10%","values ('CLX', 'Clorox', 'Consumer Staples', 'Household Products',   7110000000) union all"
"115","CME","CME Group","Financials","Financial Exchanges & Data","N/A",4.95e+09,"13.80","10.90%","values ('CME', 'CME Group', 'Financials', 'Financial Exchanges & Data',   4950000000) union all"
"116","CMS","CMS Energy","Utilities","Multi-Utilities","N/A",8.35e+09,"28.78","17.30%","values ('CMS', 'CMS Energy', 'Utilities', 'Multi-Utilities',   8350000000) union all"
"117","KO","The Coca-Cola Company","Consumer Staples","Soft Drinks","N/A",4.234e+10,"9.79","10.20%","values ('KO', 'The Coca-Cola Company', 'Consumer Staples', 'Soft Drinks',  42340000000) union all"
"118","CTSH","Cognizant","Information Technology","IT Consulting & Other Services","N/A",1.925e+10,"36.74","7.00%","values ('CTSH', 'Cognizant', 'Information Technology', 'IT Consulting & Other Services',  19250000000) union all"
"119","CL","Colgate-Palmolive","Consumer Staples","Household Products","N/A",1.77e+10,"21.05","5.30%","values ('CL', 'Colgate-Palmolive', 'Consumer Staples', 'Household Products',  17700000000) union all"
"120","CMCSA","Comcast","Communication Services","Cable & Satellite","N/A",1.2121e+11,"27.08","-1.50%","values ('CMCSA', 'Comcast', 'Communication Services', 'Cable & Satellite', 121210000000) union all"
"121","CMA","Comerica","Financials","Diversified Banks","N/A",3.26e+09,"24.89","20.10%","values ('CMA', 'Comerica', 'Financials', 'Diversified Banks',   3260000000) union all"
"122","CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","N/A",1.179e+10,"24.54","9.50%","values ('CAG', 'Conagra Brands', 'Consumer Staples', 'Packaged Foods & Meats',  11790000000) union all"
"123","COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","N/A",6.689e+10,"51.07","123.70%","values ('COP', 'ConocoPhillips', 'Energy', 'Oil & Gas Exploration & Production',  66890000000) union all"
"124","ED","Consolidated Edison","Utilities","Electric Utilities","N/A",1.45e+10,"41.03","14.90%","values ('ED', 'Consolidated Edison', 'Utilities', 'Electric Utilities',  14500000000) union all"
"125","STZ","Constellation Brands","Consumer Staples","Distillers & Vintners","N/A",9.44e+09,"50.25","12.00%","values ('STZ', 'Constellation Brands', 'Consumer Staples', 'Distillers & Vintners',   9440000000) union all"
"126","CEG","Constellation Energy","Utilities","Multi-Utilities","N/A",2.099e+10,"64.20","31.60%","values ('CEG', 'Constellation Energy', 'Utilities', 'Multi-Utilities',  20990000000) union all"
"127","COO","CooperCompanies","Health Care","Health Care Supplies","N/A",3.22e+09,"65.33","10.50%","values ('COO', 'CooperCompanies', 'Health Care', 'Health Care Supplies',   3220000000) union all"
"128","CPRT","Copart","Industrials","Diversified Support Services","N/A",3.5e+09,"14.75","18.00%","values ('CPRT', 'Copart', 'Industrials', 'Diversified Support Services',   3500000000) union all"
"129","GLW","Corning Inc.","Information Technology","Electronic Components","N/A",1.446e+10,"17.12","-3.50%","values ('GLW', 'Corning Inc.', 'Information Technology', 'Electronic Components',  14460000000) union all"
"130","CTVA","Corteva","Materials","Fertilizers & Agricultural Chemicals","N/A",1.711e+10,"23.62","17.10%","values ('CTVA', 'Corteva', 'Materials', 'Fertilizers & Agricultural Chemicals',  17110000000) union all"
"131","CSGP","CoStar Group","Industrials","Research & Consulting Services","N/A",2.12e+09,"5.38","11.50%","values ('CSGP', 'CoStar Group', 'Industrials', 'Research & Consulting Services',   2120000000) union all"
"132","COST","Costco","Consumer Staples","Hypermarkets & Super Centers","N/A",2.2695e+11,"511.56","15.00%","values ('COST', 'Costco', 'Consumer Staples', 'Hypermarkets & Super Centers', 226950000000) union all"
"133","CTRA","Coterra","Energy","Oil & Gas Exploration & Production","N/A",7.35e+09,"10.40","520.40%","values ('CTRA', 'Coterra', 'Energy', 'Oil & Gas Exploration & Production',   7350000000) union all"
"134","CCI","Crown Castle","Real Estate","Specialized REITs","N/A",6.88e+09,"15.89","7.90%","values ('CCI', 'Crown Castle', 'Real Estate', 'Specialized REITs',   6880000000) union all"
"135","CSX","CSX","Industrials","Railroads","N/A",1.455e+10,"6.71","18.30%","values ('CSX', 'CSX', 'Industrials', 'Railroads',  14550000000) union all"
"136","CMI","Cummins","Industrials","Industrial Machinery","N/A",2.479e+10,"174.02","7.80%","values ('CMI', 'Cummins', 'Industrials', 'Industrial Machinery',  24790000000) union all"
"137","CVS","CVS Health","Health Care","Health Care Services","N/A",3.0693e+11,"233.05","11.30%","values ('CVS', 'CVS Health', 'Health Care', 'Health Care Services', 306930000000) union all"
"138","DHI","D.R. Horton","Consumer Discretionary","Homebuilding","N/A",3.195e+10,"90.15","20.60%","values ('DHI', 'D.R. Horton', 'Consumer Discretionary', 'Homebuilding',  31950000000) union all"
"139","DHR","Danaher Corporation","Health Care","Health Care Equipment","N/A",3.125e+10,"43.30","6.00%","values ('DHR', 'Danaher Corporation', 'Health Care', 'Health Care Equipment',  31250000000) union all"
"140","DRI","Darden Restaurants","Consumer Discretionary","Restaurants","N/A",9.77e+09,"77.57","6.10%","values ('DRI', 'Darden Restaurants', 'Consumer Discretionary', 'Restaurants',   9770000000) union all"
"141","DVA","DaVita Inc.","Health Care","Health Care Facilities","N/A",1.164e+10,"121.62","0.40%","values ('DVA', 'DaVita Inc.', 'Health Care', 'Health Care Facilities',  11640000000) union all"
"142","DE","John Deere","Industrials","Agricultural & Farm Machinery","N/A",4.833e+10,"157.60","22.60%","values ('DE', 'John Deere', 'Industrials', 'Agricultural & Farm Machinery',  48330000000) union all"
"143","DAL","Delta Air Lines","Industrials","Airlines","N/A",4.662e+10,"73.12","52.70%","values ('DAL', 'Delta Air Lines', 'Industrials', 'Airlines',  46620000000) union all"
